"Date","Price","Open","High","Low","Vol.","Change %"
"08/20/2024","40,834.97","40,874.52","40,909.38","40,756.65","299.38M","-0.15%"
"08/19/2024","40,896.53","40,670.83","40,907.32","40,670.83","288.19M","0.58%"
"08/16/2024","40,659.76","40,528.86","40,726.03","40,453.58","323.22M","0.24%"
"08/15/2024","40,563.06","40,295.74","40,590.51","40,295.74","446.86M","1.39%"
"08/14/2024","40,008.39","39,800.59","40,068.75","39,737.20","317.80M","0.61%"
"08/13/2024","39,765.64","39,445.27","39,792.80","39,392.41","365.56M","1.04%"
"08/12/2024","39,357.01","39,556.01","39,587.06","39,251.72","312.38M","-0.36%"
"08/09/2024","39,497.54","39,408.06","39,628.66","39,230.43","316.32M","0.13%"
"08/08/2024","39,446.49","38,940.38","39,508.40","38,922.79","376.44M","1.76%"
"08/07/2024","38,763.45","39,230.09","39,477.96","38,731.51","428.25M","-0.60%"
"08/06/2024","38,997.66","38,736.22","39,449.53","38,638.30","475.42M","0.76%"
"08/05/2024","38,703.27","39,056.19","39,056.19","38,499.27","661.28M","-2.60%"
"08/02/2024","39,737.26","40,075.33","40,075.33","39,358.68","841.97M","-1.51%"
"08/01/2024","40,347.97","40,916.96","41,096.66","40,098.57","472.04M","-1.21%"
"07/31/2024","40,842.79","40,768.88","41,198.63","40,655.89","420.10M","0.24%"
"07/30/2024","40,743.33","40,622.13","40,866.25","40,529.10","358.45M","0.50%"
"07/29/2024","40,539.93","40,665.71","40,682.49","40,388.83","277.55M","-0.12%"
"07/26/2024","40,589.34","40,140.86","40,753.83","40,140.86","334.46M","1.64%"
"07/25/2024","39,935.07","39,828.63","40,438.82","39,817.50","382.49M","0.20%"
"07/24/2024","39,853.87","40,210.63","40,258.44","39,807.45","400.90M","-1.25%"
"07/23/2024","40,358.09","40,443.73","40,527.89","40,319.70","296.80M","-0.14%"
"07/22/2024","40,415.44","40,414.49","40,472.53","40,222.77","358.56M","0.32%"
"07/19/2024","40,287.53","40,592.35","40,626.16","40,203.27","354.44M","-0.93%"
"07/18/2024","40,665.02","41,156.56","41,376.00","40,597.50","398.28M","-1.29%"
"07/17/2024","41,198.08","40,862.57","41,221.98","40,849.71","438.86M","0.59%"
"07/16/2024","40,954.48","40,263.78","40,988.81","40,263.78","313.52M","1.85%"
"07/15/2024","40,211.72","40,138.40","40,351.10","40,136.10","322.33M","0.53%"
"07/12/2024","40,000.90","39,783.28","40,257.24","39,783.28","329.07M","0.62%"
"07/11/2024","39,753.75","39,695.18","39,875.60","39,623.12","363.85M","0.08%"
"07/10/2024","39,721.36","39,272.45","39,736.20","39,256.72","336.92M","1.09%"
"07/09/2024","39,291.97","39,357.37","39,492.28","39,146.60","365.56M","-0.13%"
"07/08/2024","39,344.79","39,391.98","39,654.96","39,278.43","364.05M","-0.08%"
"07/05/2024","39,375.87","39,313.40","39,399.62","39,168.70","331.49M","0.17%"
"07/03/2024","39,308.00","39,358.95","39,411.17","39,230.86","202.07M","-0.06%"
"07/02/2024","39,331.85","39,108.25","39,340.49","39,085.69","325.02M","0.41%"
"07/01/2024","39,169.52","39,186.20","39,438.36","39,037.94","353.38M","0.13%"
"06/28/2024","39,118.86","39,092.39","39,443.60","38,937.15","688.50M","-0.12%"
"06/27/2024","39,164.06","39,107.10","39,250.69","39,026.75","352.60M","0.09%"
"06/26/2024","39,127.80","39,063.15","39,183.74","38,908.99","340.84M","0.04%"
"06/25/2024","39,112.16","39,398.79","39,423.26","38,997.23","344.64M","-0.76%"
"06/24/2024","39,411.21","39,184.49","39,571.23","39,184.49","387.00M","0.67%"
"06/21/2024","39,150.33","39,208.51","39,257.18","39,061.67","838.54M","0.04%"
"06/20/2024","39,134.76","38,804.73","39,232.50","38,778.46","404.72M","0.77%"
"06/18/2024","38,834.86","38,779.12","38,936.93","38,727.67","327.60M","0.15%"
"06/17/2024","38,778.10","38,565.18","38,839.88","38,431.95","351.11M","0.49%"
"06/14/2024","38,589.16","38,528.39","38,595.24","38,305.85","275.11M","-0.15%"
"06/13/2024","38,647.10","38,677.12","38,712.21","38,407.70","343.99M","-0.17%"
"06/12/2024","38,712.21","38,950.65","39,120.26","38,621.45","477.29M","-0.09%"
"06/11/2024","38,747.42","38,795.71","38,795.71","38,446.24","388.66M","-0.31%"
"06/10/2024","38,868.04","38,784.90","38,877.86","38,665.45","336.86M","0.18%"
"06/07/2024","38,798.99","38,861.24","39,105.23","38,751.85","272.34M","-0.22%"
"06/06/2024","38,886.17","38,825.40","39,004.16","38,735.99","270.19M","0.20%"
"06/05/2024","38,807.33","38,774.82","38,844.32","38,548.77","315.04M","0.25%"
"06/04/2024","38,711.29","38,518.86","38,786.62","38,397.82","312.99M","0.36%"
"06/03/2024","38,571.03","38,709.99","38,735.61","38,247.22","320.21M","-0.30%"
"05/31/2024","38,686.32","38,140.26","38,719.43","38,092.27","624.93M","1.51%"
"05/30/2024","38,111.48","38,368.35","38,493.60","38,000.96","365.27M","-0.86%"
"05/29/2024","38,441.54","38,716.28","38,716.28","38,413.67","294.72M","-1.06%"
"05/28/2024","38,852.86","39,028.99","39,028.99","38,706.14","306.72M","-0.55%"
"05/24/2024","39,069.59","39,089.23","39,220.31","39,020.29","254.83M","0.01%"
"05/23/2024","39,065.26","39,694.95","39,694.95","39,025.51","338.76M","-1.53%"
"05/22/2024","39,671.04","39,863.33","39,890.91","39,559.09","260.94M","-0.51%"
"05/21/2024","39,872.99","39,804.40","39,905.80","39,778.73","318.22M","0.17%"
"05/20/2024","39,806.77","39,989.76","40,077.40","39,787.09","275.31M","-0.49%"
"05/17/2024","40,003.59","39,911.72","40,010.88","39,858.86","305.08M","0.34%"
"05/16/2024","39,869.38","39,912.34","40,051.05","39,864.68","404.94M","-0.10%"
"05/15/2024","39,908.00","39,615.10","39,935.04","39,615.10","424.32M","0.88%"
"05/14/2024","39,558.11","39,466.76","39,616.41","39,371.92","326.25M","0.32%"
"05/13/2024","39,431.51","39,591.28","39,647.39","39,403.05","325.23M","-0.21%"
"05/10/2024","39,512.84","39,466.52","39,579.88","39,406.26","291.49M","0.32%"
"05/09/2024","39,387.76","39,064.27","39,413.66","38,988.85","307.17M","0.85%"
"05/08/2024","39,056.39","38,818.90","39,094.74","38,814.99","292.35M","0.44%"
"05/07/2024","38,884.26","38,858.94","38,977.61","38,840.40","366.81M","0.08%"
"05/06/2024","38,852.27","38,762.43","38,886.47","38,689.38","319.43M","0.46%"
"05/03/2024","38,675.68","38,709.36","38,808.52","38,518.28","416.04M","1.18%"
"05/02/2024","38,225.66","38,075.65","38,295.29","37,895.66","384.74M","0.85%"
"05/01/2024","37,903.29","37,845.56","38,349.20","37,780.54","417.32M","0.23%"
"04/30/2024","37,815.92","38,337.40","38,337.40","37,810.12","460.10M","-1.49%"
"04/29/2024","38,386.09","38,282.16","38,406.20","38,215.47","345.68M","0.38%"
"04/26/2024","38,239.66","38,114.70","38,337.64","38,065.05","401.46M","0.40%"
"04/25/2024","38,085.80","38,052.09","38,157.22","37,754.38","417.16M","-0.98%"
"04/24/2024","38,460.92","38,552.79","38,552.79","38,310.55","342.89M","-0.11%"
"04/23/2024","38,503.69","38,356.07","38,561.50","38,297.72","329.42M","0.69%"
"04/22/2024","38,239.98","38,116.89","38,447.16","37,985.07","360.16M","0.67%"
"04/19/2024","37,986.40","37,801.98","38,102.57","37,781.61","426.21M","0.56%"
"04/18/2024","37,775.38","37,847.21","38,083.76","37,681.52","305.52M","0.06%"
"04/17/2024","37,753.31","37,949.67","38,036.70","37,611.56","318.71M","-0.12%"
"04/16/2024","37,798.97","37,992.22","37,992.22","37,713.70","341.96M","0.17%"
"04/15/2024","37,735.11","38,075.38","38,386.81","37,657.79","391.71M","-0.65%"
"04/12/2024","37,983.24","38,319.14","38,319.14","37,877.30","444.25M","-1.24%"
"04/11/2024","38,459.08","38,523.26","38,598.98","38,197.28","356.64M","-0.01%"
"04/10/2024","38,461.51","38,662.28","38,662.28","38,304.66","320.96M","-1.09%"
"04/09/2024","38,883.67","38,983.66","38,992.89","38,572.09","330.76M","-0.02%"
"04/08/2024","38,892.80","38,916.42","39,013.20","38,857.70","295.06M","-0.03%"
"04/05/2024","38,904.04","38,664.98","39,040.17","38,602.18","322.02M","0.80%"
"04/04/2024","38,596.98","39,343.60","39,421.35","38,559.42","359.29M","-1.35%"
"04/03/2024","39,127.14","39,139.59","39,305.76","39,017.13","372.22M","-0.11%"
"04/02/2024","39,170.24","39,256.27","39,256.27","39,051.70","325.61M","-1.00%"
"04/01/2024","39,566.85","39,807.93","39,815.00","39,491.22","279.11M","-0.60%"
"03/28/2024","39,807.37","39,763.74","39,868.59","39,717.25","367.24M","0.12%"
"03/27/2024","39,760.08","39,461.98","39,769.41","39,461.98","337.34M","1.22%"
"03/26/2024","39,282.33","39,338.32","39,439.44","39,277.19","312.20M","-0.08%"
"03/25/2024","39,313.64","39,410.54","39,430.17","39,296.03","326.97M","-0.41%"
"03/22/2024","39,475.90","39,774.06","39,824.76","39,469.53","337.23M","-0.77%"
"03/21/2024","39,781.37","39,661.03","39,889.05","39,589.23","408.99M","0.68%"
"03/20/2024","39,512.13","39,072.05","39,529.13","38,988.65","350.05M","1.03%"
"03/19/2024","39,110.76","38,819.61","39,122.71","38,761.28","314.35M","0.83%"
"03/18/2024","38,790.43","38,826.93","38,898.41","38,760.79","331.62M","0.20%"
"03/15/2024","38,714.77","38,809.65","38,928.13","38,618.20","783.32M","-0.49%"
"03/14/2024","38,905.66","39,122.39","39,160.25","38,704.36","378.50M","-0.35%"
"03/13/2024","39,043.32","39,054.58","39,201.94","38,937.92","333.20M","0.10%"
"03/12/2024","39,005.49","38,883.32","39,071.56","38,711.39","334.75M","0.61%"
"03/11/2024","38,769.66","38,667.21","38,794.76","38,483.25","303.96M","0.12%"
"03/08/2024","38,722.69","38,776.80","38,971.15","38,705.03","351.12M","-0.18%"
"03/07/2024","38,791.35","38,784.30","38,910.35","38,730.13","343.26M","0.34%"
"03/06/2024","38,661.05","38,721.15","38,858.13","38,570.80","355.52M","0.20%"
"03/05/2024","38,585.19","38,906.98","38,906.98","38,457.83","404.14M","-1.04%"
"03/04/2024","38,989.83","38,968.77","39,087.86","38,913.30","394.51M","-0.25%"
"03/01/2024","39,087.38","38,989.51","39,120.36","38,850.50","331.03M","0.23%"
"02/29/2024","38,996.39","39,013.75","39,074.13","38,809.28","521.77M","0.12%"
"02/28/2024","38,949.02","38,938.08","38,956.46","38,741.68","272.56M","-0.06%"
"02/27/2024","38,972.41","39,087.90","39,087.90","38,881.90","274.82M","-0.25%"
"02/26/2024","39,069.23","39,144.79","39,245.89","39,025.80","296.93M","-0.16%"
"02/23/2024","39,131.53","39,127.97","39,282.28","39,094.36","292.06M","0.16%"
"02/22/2024","39,069.11","38,845.19","39,149.61","38,802.07","330.54M","1.18%"
"02/21/2024","38,612.24","38,483.66","38,618.03","38,338.58","284.37M","0.13%"
"02/20/2024","38,563.80","38,576.26","38,663.09","38,460.20","340.37M","-0.17%"
"02/16/2024","38,627.99","38,751.71","38,825.03","38,583.24","282.22M","-0.37%"
"02/15/2024","38,773.12","38,397.94","38,781.89","38,397.94","310.71M","0.91%"
"02/14/2024","38,424.27","38,372.67","38,442.56","38,194.62","283.06M","0.40%"
"02/13/2024","38,272.75","38,699.17","38,699.17","38,039.86","322.66M","-1.35%"
"02/12/2024","38,797.38","38,656.76","38,927.08","38,628.92","276.83M","0.33%"
"02/09/2024","38,671.69","38,731.97","38,734.28","38,567.90","302.40M","-0.14%"
"02/08/2024","38,726.33","38,702.11","38,755.68","38,544.36","317.40M","0.13%"
"02/07/2024","38,677.36","38,613.89","38,748.11","38,571.01","305.19M","0.40%"
"02/06/2024","38,521.36","38,392.90","38,545.28","38,350.46","278.50M","0.37%"
"02/05/2024","38,380.12","38,546.77","38,633.88","38,220.40","324.32M","-0.71%"
"02/02/2024","38,654.42","38,448.10","38,783.62","38,336.57","384.22M","0.35%"
"02/01/2024","38,519.84","38,175.34","38,522.50","38,106.84","330.89M","0.97%"
"01/31/2024","38,150.30","38,426.78","38,588.86","38,139.66","456.22M","-0.82%"
"01/30/2024","38,467.31","38,298.23","38,497.39","38,257.80","332.93M","0.35%"
"01/29/2024","38,333.45","38,115.83","38,343.93","38,061.17","314.95M","0.59%"
"01/26/2024","38,109.43","38,006.68","38,215.31","37,997.77","388.69M","0.16%"
"01/25/2024","38,049.13","37,862.57","38,057.53","37,796.47","402.98M","0.64%"
"01/24/2024","37,806.39","37,975.37","38,064.22","37,795.71","339.42M","-0.26%"
"01/23/2024","37,905.45","37,959.79","37,980.73","37,804.99","337.32M","-0.25%"
"01/22/2024","38,001.81","37,919.55","38,109.20","37,911.61","342.50M","0.36%"
"01/19/2024","37,863.80","37,572.50","37,933.73","37,451.71","380.30M","1.05%"
"01/18/2024","37,468.61","37,300.81","37,522.29","37,122.95","340.63M","0.54%"
"01/17/2024","37,266.67","37,281.86","37,371.66","37,132.89","290.88M","-0.25%"
"01/16/2024","37,361.12","37,493.54","37,543.18","37,201.39","379.98M","-0.62%"
"01/12/2024","37,592.98","37,818.05","37,825.27","37,470.19","279.26M","-0.31%"
"01/11/2024","37,711.02","37,747.14","37,801.90","37,424.28","305.80M","0.04%"
"01/10/2024","37,695.73","37,552.91","37,740.77","37,524.40","279.54M","0.45%"
"01/09/2024","37,525.16","37,523.55","37,552.38","37,373.30","293.23M","-0.42%"
"01/08/2024","37,683.01","37,327.37","37,692.92","37,249.24","362.20M","0.58%"
"01/05/2024","37,466.11","37,455.46","37,623.62","37,323.82","299.49M","0.07%"
"01/04/2024","37,440.34","37,425.28","37,716.41","37,425.28","380.22M","0.03%"
"01/03/2024","37,430.19","37,629.23","37,629.23","37,401.85","329.14M","-0.76%"
"01/02/2024","37,715.04","37,566.22","37,790.08","37,495.91","350.29M","0.07%"
